year,gdp_per_capita,poverty_headcount,health_expenditure_gdp,out_of_pocket_health_exp,secondary_school_enrolment,urban_population_pct,internet_users_pct,population_65plus_pct
1960,84.9328084793106,,,,,17.9250073975312,,3.29905246661682
1961,87.8538613470205,,,,,18.0240089532608,,3.33852609678285
1962,92.1999583629516,,,,,18.1435710412125,,3.39509788498313
1963,103.435021262932,,,,,18.283856024527,,3.45820198645241
1964,117.856430772855,,,,,18.4430405128829,,3.51254807095617
1965,121.50831902883,,,,,18.6197192716934,,3.5519870473944
1966,91.0276950517841,,,,,18.8124870663716,,3.57875227872386
1967,97.9951481214155,,,,,19.019938662331,,3.59440871427849
1968,101.556802521195,,,,,19.2406688249846,,3.60919073308266
1969,109.477664384288,,,,,19.4732723197457,,3.63294125177274
1970,114.35532002008,,,,,19.7163439120276,,3.66092858087571
1971,120.680595539912,,,,23.9795207977295,19.973429065388,,3.69483317968977
1972,125.270705961882,,,,24.3535308837891,20.2765374145567,,3.73548652092206
1973,146.568492582405,,,,24.7536602020264,20.6395528614156,,3.77739254798137
1974,166.699661755332,,,,,21.0444612042606,,3.81539736497097
1975,161.086694022079,,,,25.4582901000977,21.4761700378174,,3.847431563455
1976,164.119999587322,,,,25.6513690948486,21.9195869568118,,3.87536062808925
1977,189.585568552477,,,,26.2202491760254,22.3596195559694,,3.8979287618361
1978,209.389063573463,,,,26.6044902801514,22.7811754300159,,3.9177323567688
1979,227.958179873426,,,,,23.169162173677,,3.93443029247757
1980,271.080945953678,,,,28.8213405609131,23.5084873816783,,3.94737747847816
1981,274.964330768528,,,,30.2948608398438,23.7875348455702,,3.95909783799409
1982,278.65038258267,,,,31.8075008392334,24.0306681216752,,3.96962039053794
1983,295.999773299382,,,,33.7834892272949,24.2539519859126,,3.97826496366921
1984,281.049867840717,,,,35.1355590820312,24.4606633455594,,3.98469867311846
1985,300.928258576378,,,,,24.654828858249,,3.99021478858997
1986,314.897116402542,,,,37.1654281616211,24.8404751816147,,3.99560135818491
1987,344.941028293075,,,,36.7326812744141,25.0216289732896,,4.00186755050278
1988,358.484539641693,,,,36.7338218688965,25.2023168909072,,4.01039265468364
1989,349.915155021864,,,,36.8672904968262,25.3865655921008,,4.02208086426184
1990,371.085936203765,,,,,25.5784017345035,0.0,4.03787048090769
1991,305.574055928592,,,,,25.7797610905819,,4.05841411442611
1992,319.182472626315,,,,,25.9808576702657,0.000111,4.08340620224614
1993,302.884806246174,45.3,,,44.8495216369629,26.1767814681192,0.000218,4.11248290182939
1994,347.73421473994,,,,45.1687202453613,26.3710188638872,0.00107,4.14618925499594
1995,375.17600537305,,,,44.9552116394043,26.5661772139368,0.0262,4.18355923613031
1996,401.046754673579,,,,44.8827896118164,26.7648638746349,0.0463,4.22377976579751
1997,416.228116203753,,,,45.3552589416504,26.9696862023486,0.0708,4.26698407588542
1998,413.630864056851,,,,,27.1832515534447,0.139,4.31287577856306
1999,441.927991436397,,,,42.9011917114258,27.4081672842903,0.273,4.36123081288453
2000,442.750218937263,,4.10568476,71.70202637,47.1734390258789,27.6470407512523,0.527532449930946,4.41058746962383
2001,450.357900514128,,4.33754253,74.1062088,46.8245811462402,27.9028652096636,0.660146377009928,4.46128426322486
2002,469.149928973927,,4.31453371,73.3739624,48.8069381713867,28.1756878910456,1.53787558175083,4.51627622226394
2003,544.143133545002,,4.07877731,73.42475128,51.4255714416504,28.4660287698,1.68648997063625,4.57336676437993
2004,624.258826510066,37.2,4.02679491,72.48267365,53.247371673584,28.7726067228528,1.97613649190559,4.62602267494844
2005,710.488080408949,,3.85508275,73.14936829,55.9314002990723,29.0945497159107,2.388099909,4.67467509912271
2006,801.668353659022,,3.66901541,72.25708008,56.7859497070312,29.4309857146804,2.80549986534254,4.72189908061262
2007,1021.88707706826,,3.58103991,70.81672668,59.1478385925293,29.7810426848684,3.95,4.7700034284851
2008,992.519584923828,,3.58856082,69.14794159,62.2119216918945,30.1438485921815,4.38,4.82207897305879
2009,1094.94974598436,29.8,3.54637694,66.75775146,61.3603210449219,30.5185314023263,5.12,4.87809420851412
2010,1347.51939071367,,3.33625913,65.18476868,64.9475936889648,30.9042190810094,7.5,4.94044719106105
2011,1445.46127486037,21.9,3.24634218,62.22489929,67.1251678466797,31.2746502853309,10.07,5.0124057389161
2012,1429.32199520032,,3.32935286,63.00013733,69.8089599609375,31.5898935604399,11.10000038,5.09338826047327
2013,1432.84397512195,,3.74944186,69.07303619,69.4771270751953,31.9096789235237,12.30000019,5.18262772655076
2014,1553.88396075118,,3.61956549,67.01399994,74.8887023925781,32.2288233408821,13.5,5.30715461269221
2015,1583.99815907985,,3.59565973,64.66441345,74.6113662719727,32.5472990022299,14.89999962,5.46921307827757
2016,1707.50892912243,,3.50430417,63.20619965,75.9372863769531,32.8650780972823,16.5,5.64173085340436
2017,1950.10468280866,,2.93597651,55.11247635,74.6743774414062,33.1821328157539,18.20000076,5.8247052897296
2018,1966.25455171679,,2.8584938,53.22994614,76.0025787353516,33.4984353473598,20.0813000379384,6.01925951437221
2019,2041.42863698585,,2.95299792,52.00421143,75.8716506958008,33.8139578818147,29.52350044,6.22347304109804
2020,1907.04251637669,,3.34146094,49.51094055,77.6271548412386,34.1286726088333,43.40544313,6.41685302336898
2021,2239.61384367482,,3.34680939,45.10914612,80.6246396728944,34.4425517181304,49.2580986,6.54579069268807
2022,2279.98145719369,,3.39623499,44.54133987,81.1778608399708,34.7555673994206,55.9,6.69899975408181
2023,2434.44826340989,,3.33944035,43.88510513,78.8639591218839,35.0676918424186,60.25230026,6.92184330138637
2024,2591.9916607122,,,,78.1058073224606,35.3788972368389,64.9434967,7.14651714039908
2025,2702.47987141553,,,,79.594985086469,35.689155772396,70.0,7.37657146047502
